seq,x,y
119,4.026541434529236,-3.879133437593282
120,4.02242522368374,-3.8700196682657406
121,4.025619803690461,-3.860543350118178
122,4.027708426690651,-3.850763687250833
123,4.028340750895268,-3.8407838290754626
124,4.028709403230778,-3.8307905431660174
125,4.028389579019176,-3.8207960365534746
126,4.027615653255225,-3.810825944002886
127,4.023783866231497,-3.8015888836624754
128,4.0205807413030925,-3.7921162276242057
129,4.0221151650969205,-3.7822346360482015
130,4.023532401393368,-3.7723353442772805
131,4.026174002896823,-3.762690569102233
132,4.028255301678428,-3.7529096855317903
133,4.029294120014583,-3.742964007043156
134,4.030282889523733,-3.733012835390582
135,4.030896903181883,-3.723031756512114
136,4.031442557466562,-3.713046405172804
137,4.03172698128833,-3.7030506778571635
138,4.031888114097228,-3.6930518987837786
139,4.031767264490554,-3.683052509358845
140,4.031383963717872,-3.6730598338009486
141,4.030579520376477,-3.6630921826565555
142,4.029195243063668,-3.6531886184247924
143,4.023853446308067,-3.644735249473115
144,4.018726493297663,-3.6361488238837865
145,4.021453544017959,-3.6265278524191444
146,4.023415213895987,-3.6167225547867474
147,4.025771170874577,-3.6070033167227393
148,4.02791228410797,-3.5972358608863715
149,4.029026786036184,-3.5872981169678724
150,4.030136405152007,-3.5773597626978244
151,4.030843192245584,-3.567384787334845
152,4.031531668792695,-3.557408591268768
153,4.031982108235752,-3.547418357117067
154,4.032399588695171,-3.5374275126138173
155,4.032637625799225,-3.52742995424353
156,4.032802420717417,-3.5174311751701453
157,4.033029471493592,-3.507434227151407
158,4.033077078914403,-3.4974342273749244
159,4.028388358316079,-3.4886012197598575
160,4.0237350381075885,-3.4797505119498737
161,4.019858085069245,-3.4705323725074777
162,4.0216134561237595,-3.460687402024405
163,4.023152762729978,-3.4508064207999496
164,4.025699149391812,-3.441136621211399
165,4.027554618100339,-3.431309961274792
166,4.028142996993438,-3.421327661693226
167,4.028445731361671,-3.4113319343775856
168,4.028091727463334,-3.4013380381165916
169,4.027212821232979,-3.391377100839236
170,4.025494071271396,-3.3815260268406746
171,4.030487967644149,-3.3728620866046413
172,4.037319022178963,-3.3655586199710115
173,4.043805838440221,-3.357948756859855
174,4.047283621565612,-3.348572536366305
175,4.050484305087821,-3.3390986596249377
176,4.050987234764079,-3.329111477230981
177,4.052002859741378,-3.3191633573361514
178,4.048998709417901,-3.309625393682154
179,4.047641287573242,-3.299718167341098
180,4.049999685958028,-3.2900001499801874
181,4.069999685510993,-3.2700001504272223
182,4.089999685063958,-3.2700001504272223
183,4.109999684616923,-3.2700001504272223
184,4.1299996841698885,-3.2700001504272223
185,4.149999683722854,-3.2700001504272223
186,4.169999683275819,-3.2700001504272223
187,4.189999682828784,-3.2700001504272223
188,4.209999682381749,-3.2700001504272223
189,4.229999681934714,-3.2700001504272223
190,4.2499996814876795,-3.2700001504272223
191,4.269999681040645,-3.2700001504272223
192,4.28999968059361,-3.2700001504272223
193,4.309999680146575,-3.2700001504272223
194,4.32999967969954,-3.2700001504272223
195,4.349999679252505,-3.2700001504272223
196,4.3699996788054705,-3.2700001504272223
197,4.389999678358436,-3.2700001504272223
198,4.409999677911401,-3.2700001504272223
199,4.429999677464366,-3.2700001504272223
200,4.449999677017331,-3.2700001504272223
201,4.469999676570296,-3.2700001504272223
202,4.4899996761232615,-3.2700001504272223
203,4.509999675676227,-3.2700001504272223
204,4.529999675229192,-3.2700001504272223
205,4.549999674782157,-3.2700001504272223
206,4.569999674335122,-3.2700001504272223
207,4.589999673888087,-3.2700001504272223
208,4.609999673441052,-3.2700001504272223
209,4.629999672994018,-3.2700001504272223
210,4.649999672546983,-3.2700001504272223
211,4.669999672099948,-3.2700001504272223
212,4.689999671652913,-3.2700001504272223
213,4.709999671205878,-3.2700001504272223
214,4.729999670758843,-3.2700001504272223
215,4.749999670311809,-3.2700001504272223
216,4.769999669864774,-3.2700001504272223
217,4.789999669417739,-3.2700001504272223
218,4.809999668970704,-3.2700001504272223
219,4.829999668523669,-3.2700001504272223
220,4.849999668076634,-3.2700001504272223
221,4.8699996676296,-3.2700001504272223
222,4.889999667182565,-3.2700001504272223
223,4.90999966673553,-3.2700001504272223
224,4.929999666288495,-3.2700001504272223
225,4.94999966584146,-3.2700001504272223
226,4.969999665394425,-3.2700001504272223
227,4.989999664947391,-3.2700001504272223
228,5.009999664500356,-3.2700001504272223
229,5.029999664053321,-3.2700001504272223
230,5.049999663606286,-3.2700001504272223
231,5.069999663159251,-3.2700001504272223
232,5.089999662712216,-3.2700001504272223
233,5.1099996622651815,-3.2700001504272223
